report_time,sku_id,snapshot_date,units_on_hand,units_in_backroom,days_of_supply,expiry_nearest_date,total_available,product_name,category,is_perishable,avg_daily_demand,std_daily_demand,avg_demand_seasonal,safety_stock_seasonal,reorder_point_optimized,lead_time_final,avg_fill_rate,reliability_score,total_revenue,unit_price,unit_cost,pack_size,seasonal_factor,supplier_name,days_of_supply_current,demand_for_calc,alert_tier,units_needed,units_to_order,revenue_at_risk,is_phantom,demand_lift_factor,is_on_promo,f1_tier,f2_revenue,f3_dos,f4_supplier,f5_seasonal,priority_score,store_id
2026-04-25 12:52:35,P00113,2025-12-29,0,0,0.0,,0,BrightBasket Classic Water 24ct,Beverages,False,29.85909712722298,9.343116065523372,27.291214774281805,33,73,1.3140495867768596,0.917312771577064,0.756,1051718.84,48.51,32.36,36,0.914,FreshFlow Inc.,0.0,27.291214774281805,CRITICAL,418.0,432.0,18534.555601805743,False,1.0,False,1000,18.534555601805742,5.0,4.88,-0.8599999999999997,1027.554555601806,S0001
2026-04-25 12:52:35,P01102,2025-12-29,22,0,0.67,,22,UrbanHarvest Natural Baby Care 12-Pack,Baby & Infant,False,29.305516265912303,8.597384845691932,26.785241867043847,112,346,7.979166666666667,0.9303571428571428,0.717,796852.74,38.46,19.16,36,0.914,QualityFirst Supply,0.67,26.785241867043847,CRITICAL,567.0,576.0,13732.03816141273,False,1.0,False,1000,13.73203816141273,4.760714285714286,5.66,-0.8599999999999997,1023.2927524471268,S0001
2026-04-25 12:52:35,P00055,2025-12-29,22,0,0.71,,22,ClearChoice Pure Sodas 12-Pack,Beverages,False,28.19151846785226,7.81981916675097,25.767047879616964,54,142,3.106194690265487,0.929386004926558,0.747,811908.61,39.47,25.31,12,0.914,TrueSource Partners,0.71,25.767047879616964,CRITICAL,419.0,420.0,13516.267297654718,False,1.0,False,1000,13.516267297654718,4.746428571428571,5.0600000000000005,-0.8599999999999997,1022.4626958690832,S0001
2026-04-25 12:52:35,P00084,2025-12-29,0,0,0.0,,0,PureStart Light Sodas 12-Pack,Beverages,False,25.299474605954465,8.53370919975206,23.123719789842383,132,360,9.0,0.9377910844976712,0.733,540155.44,37.7,17.34,6,0.914,HeartlandFoods,0.0,23.123719789842383,CRITICAL,532.0,534.0,12204.699305078811,False,1.0,False,1000,12.204699305078812,5.0,5.34,-0.8599999999999997,1021.6846993050788,S0001
2026-04-25 12:52:35,P00239,2025-12-29,35,0,1.55,2026-04-23,35,NovaBrand Original Eggs 250g,Dairy & Eggs,True,19.77650429799427,6.485292340664678,18.07572492836676,49,126,3.8705882352941177,0.9245042016806722,0.899,679457.48,49.4,22.94,6,0.914,StoneGate Distributors,1.55,18.07572492836676,CRITICAL,289.0,294.0,11117.113102693407,False,1.0,False,1000,11.117113102693407,4.446428571428571,2.0199999999999996,-0.8599999999999997,1016.723541674122,S0001
2026-04-25 12:52:35,P00287,2025-12-29,32,0,1.39,,32,NovaBrand Bold Chips 2L,Snacks,False,19.95065312046444,7.096134122577193,18.2348969521045,55,140,4.213333333333333,0.9159183673469388,0.872,449531.62,32.83,19.08,48,0.914,FuelForward Distributors,1.39,18.2348969521045,CRITICAL,301.0,336.0,7548.997520083018,False,1.0,False,1000,7.5489975200830175,4.503571428571428,2.56,-0.8599999999999997,1013.7525689486544,S0001
2026-04-25 12:52:35,P00448,2025-12-29,10,3,0.5,2026-04-27,13,BlueRidge Bold Cakes 1kg,Bakery,True,17.34002869440459,5.829277719821526,15.848786226685796,29,74,2.5725806451612905,0.9191997518610422,0.725,231230.26,19.25,9.56,12,0.914,VantagePoint Supply,0.5,15.848786226685796,CRITICAL,250.0,252.0,4118.703320659971,False,1.0,False,1000,4.118703320659971,4.821428571428571,5.5,-0.8599999999999997,1013.5801318920884,S0001
2026-04-25 12:52:35,P00579,2025-12-29,0,0,0.0,2026-11-28,0,EverFresh Crispy Waffles 150g,Frozen Foods,True,13.091228070175438,4.80685950631451,11.96538245614035,43,133,6.829268292682927,0.9239075203252032,0.801,225414.8,30.24,12.66,36,0.914,DawnBreaker Wholesale,0.0,11.96538245614035,CRITICAL,250.0,252.0,5065.664316631579,False,1.0,False,1000,5.065664316631579,5.0,3.979999999999999,-0.8599999999999997,1013.1856643166316,S0001
2026-04-25 12:52:35,P00539,2025-12-29,0,0,0.0,2026-02-23,0,ClearChoice Bold Ice Cream 2L,Frozen Foods,True,19.974285714285713,6.554878616783719,18.256497142857143,79,247,8.380952380952381,0.9185360094451004,0.843,290306.52,20.82,13.41,12,0.914,BeaconPoint Logistics,0.0,18.256497142857143,CRITICAL,409.0,420.0,5321.4037872,False,1.0,False,1000,5.3214037871999995,5.0,3.140000000000001,-0.8599999999999997,1012.6014037872,S0001
2026-04-25 12:52:35,P00604,2025-12-29,0,0,0.0,2026-06-24,0,EcoGreen Extra Fresh Frozen Vegs 6-Pack,Frozen Foods,True,7.551873198847262,3.202549616694536,6.902412103746397,43,117,9.666666666666666,0.9265119549929676,0.791,216284.61,41.41,23.14,6,0.914,JetStream Supply,0.0,6.902412103746397,CRITICAL,164.0,168.0,4001.604393025936,False,1.0,False,1000,4.001604393025936,5.0,4.18,-0.8599999999999997,1012.3216043930258,S0001
2026-04-25 12:52:35,P00488,2025-12-29,0,0,0.0,2026-04-26,0,BlueRidge Family Size Cookies 1L,Bakery,True,8.678868552412645,3.5348318278280324,7.932485856905158,47,139,10.516129032258064,0.9129032258064516,0.777,172858.24,33.14,21.8,24,0.914,QuestSource Corp.,0.0,7.932485856905158,CRITICAL,195.0,216.0,3680.3561381697177,False,1.0,False,1000,3.680356138169717,5.0,4.459999999999999,-0.8599999999999997,1012.2803561381696,S0001
2026-04-25 12:52:35,P01012,2025-12-29,19,0,1.39,,19,QuickFresh Natural Sauces 250g,Canned & Pantry,False,12.05103448275862,4.428235578332198,11.014645517241378,22,52,2.4347826086956523,0.9187979539641944,0.872,356188.87,41.16,23.08,1,0.914,FuelForward Distributors,1.39,11.014645517241378,CRITICAL,163.0,163.0,5716.90502766455,False,1.0,False,1000,5.71690502766455,4.503571428571428,2.56,-0.8599999999999997,1011.920476456236,S0001
2026-04-25 12:52:35,P01168,2025-12-29,28,474,0.99,,502,SimplySmart Family Size Accessories 500g,Pet Supplies,False,24.425330812854444,7.122746928070691,22.324752362948963,182,474,11.916666666666666,0.934985632183908,0.727,104370.95,8.11,3.01,24,0.914,PineTree Provisions,0.99,22.324752362948963,CRITICAL,77.0,96.0,2355.509179042344,False,1.0,False,1000,2.355509179042344,4.646428571428571,5.460000000000001,-0.8599999999999997,1011.6019377504708,S0001
2026-04-25 12:52:35,P00946,2025-12-29,98,0,3.0,2026-10-28,98,BlueRidge Light Fruits 12-Pack,Produce,True,30.6027397260274,9.538370602236403,27.970904109589043,50,121,2.301282051282051,0.9220561816103215,0.753,236630.32,10.79,7.09,12,0.914,KingsCross Wholesale,3.0,27.970904109589043,CRITICAL,358.0,360.0,3319.8666087671236,False,1.0,False,1000,3.3198666087671236,3.928571428571429,4.9399999999999995,-0.8599999999999997,1011.3284380373386,S0001
2026-04-25 12:52:35,P01134,2025-12-29,0,0,0.0,,0,TrueGrain Lite Diapers 12-Pack,Baby & Infant,False,15.015544041450775,5.996085820098334,13.72420725388601,67,203,9.0,0.915687331536388,0.791,123756.03,14.48,6.15,24,0.914,JetStream Supply,0.0,13.72420725388601,CRITICAL,316.0,336.0,2782.1712945077725,False,1.0,False,1000,2.7821712945077723,5.0,4.18,-0.8599999999999997,1011.1021712945076,S0001
2026-04-25 12:52:35,P00679,2025-12-29,0,0,0.0,,0,NaturePath Crispy Deodorant 6-Pack,Personal Care,False,21.35443037974683,7.097985482419685,19.517949367088608,91,255,7.666666666666667,0.9213096381684278,0.949,255026.11,21.69,14.9,12,0.914,Apex Distribution Co.,0.0,19.517949367088608,CRITICAL,423.0,432.0,5926.820504810126,False,1.0,False,1000,5.926820504810126,5.0,1.020000000000001,-0.8599999999999997,1011.08682050481,S0001
2026-04-25 12:52:35,P00929,2025-12-29,8,343,0.26,2026-08-12,351,UrbanHarvest Ultra Herbs 500ml,Produce,True,26.30916030534351,6.985086001232653,24.04657251908397,92,326,8.870967741935484,0.9203943397491784,0.717,42736.6,3.1,1.54,1,0.914,QualityFirst Supply,0.26,24.04657251908397,CRITICAL,199.0,199.0,1024.2397098778629,False,1.0,False,1000,1.0242397098778626,4.9071428571428575,5.66,-0.8599999999999997,1010.7313825670208,S0001
2026-04-25 12:52:35,P00774,2025-12-29,68,72,2.06,,140,SimplySmart Organic Detergent 24ct,Household,False,29.816689466484267,8.017740294890675,27.25245417236662,28,64,1.205240174672489,0.9194280332220224,0.889,335016.89,15.38,8.6,6,0.914,DeltaForce Supply,2.06,27.25245417236662,CRITICAL,275.0,276.0,5004.564377341723,False,1.0,False,1000,5.004564377341723,4.264285714285714,2.22,-0.8599999999999997,1010.6288500916274,S0001
2026-04-25 12:52:35,P01237,2025-12-29,15,0,1.97,,15,PrimePick Classic OTC Meds 2L,Health & Wellness,False,7.21606648199446,3.476948785284418,6.595484764542936,22,56,4.710843373493976,0.916371367824238,0.714,62753.56,12.37,8.14,36,0.914,LionShare Provisions,1.97,6.595484764542936,CRITICAL,109.0,144.0,981.4813428448751,False,1.0,False,1000,0.9814813428448752,4.296428571428571,5.720000000000001,-0.8599999999999997,1010.1379099142736,S0001
2026-04-25 12:52:35,P01218,2025-12-29,0,0,0.0,,0,EverFresh Extra Fresh Supplements 1L,Health & Wellness,False,16.64873417721519,6.153866884687714,15.216943037974684,72,205,7.973684210526316,0.9126281049157546,0.971,227159.48,21.62,14.32,1,0.914,MountainTop Supply,0.0,15.216943037974684,CRITICAL,335.0,335.0,4605.864318734178,False,1.0,False,1000,4.605864318734178,5.0,0.5800000000000005,-0.8599999999999997,1009.3258643187344,S0001
2026-04-25 12:52:35,P00919,2025-12-29,15,449,0.55,2026-07-25,464,TrueGrain Family Size Vegetables 24ct,Produce,True,24.398832684824903,7.348368332714248,22.30053307392996,156,461,12.5,0.9214212753538596,0.85,89668.15,7.15,4.49,1,0.914,OpenRoad Wholesale,0.55,22.30053307392996,CRITICAL,127.0,127.0,2144.5865143871597,False,1.0,False,1000,2.14458651438716,4.803571428571428,3.0000000000000004,-0.8599999999999997,1009.0881579429586,S0001
2026-04-25 12:52:35,P01000,2025-12-29,57,0,2.85,,57,EverFresh Pure Pasta 1L,Canned & Pantry,False,17.946575342465753,5.8272945154237075,16.403169863013698,36,105,3.8247422680412377,0.9216781214203894,0.807,143289.3,11.0,4.03,36,0.914,RainierPeak Supply,2.85,16.403169863013698,CRITICAL,236.0,252.0,2011.84878369863,False,1.0,False,1000,2.01184878369863,3.9821428571428577,3.859999999999999,-0.8599999999999997,1008.9939916408416,S0001
2026-04-25 12:52:35,P00106,2025-12-29,8,0,1.07,,8,TrueGrain Crispy Juices 1L,Beverages,False,7.023351648351649,3.3177864677163584,6.419343406593407,30,78,6.810344827586207,0.9250453720508168,0.952,252817.37,49.93,21.39,48,0.914,ClearWater Provisions,1.07,6.419343406593407,CRITICAL,126.0,144.0,4144.295364645331,False,1.0,False,1000,4.14429536464533,4.617857142857143,0.9600000000000009,-0.8599999999999997,1008.8621525075024,S0001
2026-04-25 12:52:35,P00925,2025-12-29,0,0,0.0,2026-02-21,0,PrimePick Farm Mushrooms 1L,Produce,True,18.05143721633888,5.923534358380636,16.499013615733737,89,240,8.31578947368421,0.9142441860465116,0.971,163110.44,13.67,5.25,1,0.914,FrostlineWholesale,0.0,16.499013615733737,CRITICAL,369.0,369.0,3157.581225779122,False,1.0,False,1000,3.1575812257791225,5.0,0.5800000000000005,-0.8599999999999997,1007.8775812257792,S0001
2026-04-25 12:52:35,P01121,2025-12-29,4,269,0.18,,273,SunValley Farm Baby Food 6-Pack,Baby & Infant,False,19.091778202676863,4.265964976035944,17.449885277246654,117,317,10.44,0.9326760563380282,0.952,73854.42,7.48,3.92,12,0.914,ClearWater Provisions,0.18,17.449885277246654,CRITICAL,154.0,156.0,1803.8574606959849,False,1.0,False,1000,1.803857460695985,4.935714285714286,0.9600000000000009,-0.8599999999999997,1006.8395717464105,S0001
2026-04-25 12:52:35,P00778,2025-12-29,111,0,4.04,,111,EverFresh Value Pack Detergent 12-Pack,Household,False,24.48494983277592,7.970145776541457,22.379244147157195,156,503,14.166666666666666,0.9103247082699136,0.73,618963.75,42.45,22.5,12,0.914,CoastalTrade LLC,4.04,22.379244147157195,WARNING,520.0,528.0,9461.989183906358,False,1.0,False,100,9.461989183906358,3.557142857142858,5.4,-0.8599999999999997,117.55913204104922,S0001
2026-04-25 12:52:35,P00618,2025-12-29,116,79,3.73,2026-06-21,195,SunValley Organic Pizza 500ml,Frozen Foods,True,28.28230337078652,9.16808635131938,25.85002528089888,78,215,4.818181818181818,0.9187965059851182,0.843,751970.7,37.42,21.06,24,0.914,BeaconPoint Logistics,3.73,25.85002528089888,WARNING,292.0,312.0,9934.252605535396,False,1.0,False,100,9.934252605535397,3.6678571428571423,3.140000000000001,-0.8599999999999997,115.88210974839254,S0001
2026-04-25 12:52:35,P00417,2025-12-29,127,256,3.81,2026-03-20,383,NovaBrand Natural Rolls 150g,Bakery,True,30.187702265372167,11.183327667847594,27.59155987055016,118,383,8.756756756756756,0.9237469513712608,0.846,544917.94,29.88,10.73,12,0.914,JupiterReach Supply,3.81,27.59155987055016,WARNING,245.0,252.0,8401.000893017475,False,1.0,False,100,8.401000893017475,3.6392857142857142,3.0800000000000005,-0.8599999999999997,114.2602866073032,S0001
