store_id,sku_id,date,foot_traffic_tier,category,target,forecast_units,lower_bound_90,upper_bound_90,forecast_p50,mu_daily,sigma_daily,csl,z_val,supplier_id,lead_time_days_avg,lead_time_days_std,reliability_score,safety_stock_units,reorder_point,target_upto_old,target_upto_new,latest_snapshot,units_on_hand,units_in_backroom,days_of_supply_snapshot,units_total,days_of_supply_current,is_below_rop,risk_score,alert_tier,demand_vs_forecast,phantom_score,is_phantom_suspect,priority,recommended_action,pipeline_run_date
S0001,P00055,2025-12-31,Premium,Beverages,35.0,34.19341079056263,22.561698204239704,43.61022955157818,34.19341079056263,34.19341079056263,5.724509885115835,0.975,1.96,SUP020,16,3.2,0.747,220.0,768.0,35.0,46.0,2025-12-29,22,0,0.71,22,0.7,True,0.95,CRITICAL,1.0235890246333657,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00084,2025-12-28,Premium,Beverages,15.0,19.430866152254666,5.77711673433457,39.6224846417853,19.430866152254666,19.430866152254666,12.274540115216192,0.975,1.96,SUP060,4,0.7,0.733,56.0,134.0,20.0,44.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,0.7719676458303159,0.0447985801072266,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00113,2025-12-31,Premium,Beverages,36.0,33.90953742718127,22.82503136253737,43.44811574017677,33.90953742718127,33.90953742718127,5.7985278498452875,0.975,1.96,SUP006,9,2.9,0.756,196.0,502.0,34.0,46.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,1.0616482185080782,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00448,2025-12-30,Premium,Bakery,13.0,10.58275160710221,1.9115724410705208,23.80817533936027,10.58275160710221,10.58275160710221,8.039771265810371,0.975,1.96,SUP022,14,2.3,0.725,76.0,225.0,11.0,27.0,2025-12-29,10,3,0.5,13,0.5,True,0.95,CRITICAL,1.228413978012632,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00488,2025-12-27,Premium,Bakery,16.0,9.075501330418431,1.984598605912113,18.49966180239012,9.075501330418431,9.075501330418431,5.728972931289778,0.975,1.96,SUP069,8,2.2,0.777,51.0,124.0,10.0,21.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,1.7629880066650057,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00539,2025-12-31,Premium,Frozen Foods,18.0,22.84955244937445,14.182170993273164,30.986475857419368,22.84955244937445,22.84955244937445,4.946457998811501,0.975,1.96,SUP080,15,4.9,0.843,223.0,566.0,23.0,33.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,0.7877616001399093,0.0490317370063071,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00579,2025-12-28,Premium,Frozen Foods,6.0,11.94792223228555,1.8292235697944164,24.387687411732223,11.94792223228555,11.94792223228555,7.562167282338404,0.975,1.96,SUP030,6,1.6,0.801,53.0,125.0,12.0,27.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,0.5021793650269051,0.0601368810156926,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00604,2025-12-31,Premium,Frozen Foods,13.0,8.34176705674709,3.686314829741728,13.511325896794023,8.34176705674709,8.34176705674709,3.1425889605148543,0.975,1.96,SUP010,4,1.3,0.791,25.0,59.0,9.0,15.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,1.5584228031739609,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00679,2025-12-26,Premium,Personal Care,28.0,15.627731353085991,2.698724288297444,33.6560119124816,15.627731353085991,15.627731353085991,10.959441069541406,0.975,1.96,SUP001,16,3.1,0.949,129.0,380.0,16.0,38.0,2025-12-29,0,0,0.0,0,0.0,True,0.95,CRITICAL,1.7916868013264682,0.0,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
S0001,P00919,2025-12-31,Premium,Produce,27.0,27.753292536031925,19.38452637104231,36.53024174435848,27.753292536031925,27.753292536031925,5.335531433633163,0.975,1.96,SUP041,18,6.5,0.85,357.0,857.0,28.0,39.0,2025-12-29,15,449,0.55,464,0.6,True,0.95,CRITICAL,0.9728575434769072,0.0076162165274232,False,HIGH,IMMEDIATE — verify inventory and place order now,2026-04-25
